pathway_id;pathway_reaction;pathway_completeness_perc;pathway_completeness;pathway_candidate_reaction;pathway_key_reactions
PWY-6876;isopropanol biosynthesis (engineered);0;0/6; 0/6;0/0
PWY-6883;pyruvate fermentation to butanol II (engineered);14;1/7; 0/7;0/0
PWY-6890;4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I;0;0/2; 0/2;0/0
PWY-6891;thiazole component of thiamine diphosphate biosynthesis II;37;3/8; 3/8;0/0
PWY-6892;thiazole component of thiamne diphosphate biosynthesis;28;2/7; 2/7;0/0
PWY-6893;thiamine diphosphate biosynthesis II (Bacillus);0;0/2; 0/2;0/0
PWY-6894;thiamine diphosphate biosynthesis I (E. coli);0;0/2; 0/2;0/0
PWY-6896;thiamine diphosphate salvage I;0;0/2; 0/2;0/0
PWY-6898;thiamine diphosphate salvage III;0;0/1; 0/1;0/0
PWY-6899;base-degraded thiamine salvage;0;0/2; 0/2;0/1
PWY-6902;chitin degradation II (Vibrio);20;(0+1)/5; 0/5;0/1
PWY-6906;chitin derivatives degradation;37;(2+1)/8; 2/8;0/0
PWY-6907;thiamine diphosphate biosynthesis III (Staphylococcus);33;1/3; 0/3;0/0
PWY-6909;thiazole component of thiamne diphosphate biosynthesis III;0;0/2; 0/2;0/0
PWY-6910;hydroxymethylpyrimidine salvage;0;0/2; 0/2;0/0
PWY-6915;pentalenolactone biosynthesis;0;0/10; 0/10;0/0
PWY-6919;neopentalenoketolactone and pentalenate biosynthesis;0;0/10; 0/10;0/0
PWY-6923;ricinine degradation;0;0/1; 0/1;0/0
PWY-6932;selenate reduction;0;0/4; 0/4;0/0
PWY-6938-1;NADH repair (prokaryotes);0;0/2; 0/2;0/1
PWY-6941;styrene degradation;0;0/3; 0/3;0/0
PWY-6942;dTDP-D-desosamine biosynthesis;50;3/6; 2/6;0/1
PWY-6943;testosterone and androsterone degradation to androstendione;0;0/5; 0/5;0/0
PWY-6944;androstenedione degradation;8;(0+2)/24; 0/24;0/0
PWY-6945;cholesterol degradation to androstenedione I (cholesterol oxidase);11;(0+2)/17; 0/17;0/1
PWY-6946;cholesterol degradation to androstenedione II (cholesterol dehydrogenase);9;(0+2)/22; 0/22;0/1
PWY-6948;sitosterol degradation to androstenedione;0;0/18; 0/18;0/0
PWY-6952;glycerophosphodiester degradation;50;1/2; 1/2;0/0
PWY-6953;"dTDP-3-acetamido-&alpha;-D-fucose biosynthesis";60;3/5; 3/5;0/1
PWY-6955;lincomycin A biosynthesis;12;(0+3)/24; 0/24;0/0
PWY-6961;L-ascorbate degradation II (bacterial, aerobic);0;0/5; 0/5;0/0
PWY-6964;ammonia assimilation cycle II;50;1/2; 1/2;0/0
PWY-6965;methylamine degradation II;33;1/3; 1/3;0/0
PWY-6966;methanol oxidation to formaldehyde I;0;0/2; 0/2;0/0
PWY-6967;methylamine degradation I;0;0/1; 0/1;0/0
PWY-6968;trimethylamine degradation;0;0/3; 0/3;0/0
PWY-6969;TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase);38;(4+1)/13; 4/13;1/2
PWY-6971;oleandomycin biosynthesis;0;0/5; 0/5;0/0
PWY-6972;oleandomycin activation/inactivation;33;1/3; 1/3;0/0
PWY-6973;dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis;25;2/8; 2/8;0/3
PWY-6974;dTDP-L-olivose biosynthesis;33;2/6; 2/6;0/1
PWY-6976;dTDP-L-mycarose biosynthesis;42;(2+1)/7; 2/7;0/1
PWY-6978;plastoquinol-9 biosynthesis II;0;0/5; 0/5;0/0
PWY-6983;threo-tetrahydrobiopterin biosynthesis;25;1/4; 1/4;0/0
PWY-6984;lipoate salvage II;0;0/4; 0/4;0/0
PWY-6986;alginate degradation;16;(0+1)/6; 0/6;0/0
PWY-6987;lipoate biosynthesis and incorporation III (Bacillus);33;1/3; 1/3;0/1
PWY-6989;(-)-camphor degradation;0;0/6; 0/6;0/0
PWY-6991;(-)-camphor biosynthesis;0;0/3; 0/3;0/0
PWY-6992;1,5-anhydrofructose degradation;20;1/5; 1/5;0/1
PWY-6993;nicotine degradation II (pyrrolidine pathway);0;0/10; 0/10;0/0
PWY-6994;L-pyrrolysine biosynthesis;0;0/3; 0/3;0/0
PWY-6995;5-hydroxymethylfurfural degradation;12;(0+1)/8; 0/8;0/0
PWY-6996;daidzin and daidzein degradation;25;(0+1)/4; 0/4;0/0
PWY-6997;furfural degradation;0;0/5; 0/5;0/0
PWY-6998;CDP-D-arabitol biosynthesis;0;0/2; 0/2;0/0
PWY-6999;theophylline degradation;0;0/9; 0/9;0/0
PWY-699;brassinosteroid biosynthesis I;4;1/25; 0/25;0/0
PWY-7002;4-hydroxyacetophenone degradation;0;0/5; 0/5;0/1
PWY-7006;4-amino-3-hydroxybenzoate degradation;0;0/5; 0/5;0/1
PWY-7007;methyl ketone biosynthesis (engineered);0;0/5; 0/5;0/0
PWY-7008;2-hydroxybiphenyl degradation;0;0/3; 0/3;0/1
PWY-7009;2,2'-dihydroxybiphenyl degradation;20;(0+2)/10; 0/10;0/0
PWY-7010;2-propylphenol degradation;0;0/3; 0/3;0/0
PWY-7011;2-isopropylphenol degradation;0;0/3; 0/3;0/0
PWY-7013;(S)-propane-1,2-diol degradation;33;2/6; 2/6;0/1
PWY-7014;paromamine biosynthesis I;0;0/6; 0/6;0/0
PWY-7015;ribostamycin biosynthesis;0;0/4; 0/4;0/0
PWY-7016;neomycin biosynthesis;20;(0+1)/5; 0/5;0/0
PWY-7018;paromomycin biosynthesis;0;0/6; 0/6;0/0
PWY-7019;butirosin biosynthesis;14;(0+1)/7; 0/7;0/0
PWY-701;L-methionine degradation II;0;0/1; 0/1;0/0
PWY-7022;paromamine biosynthesis II;0;0/6; 0/6;0/0
PWY-7025;gentamicin biosynthesis;0;0/12; 0/12;0/0
PWY-7026;terminal olefins biosynthesis I;0;0/1; 0/1;0/0
PWY-7027;hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis;0;0/4; 0/4;0/0
PWY-7028;UDP-N,N'-diacetylbacillosamine biosynthesis;0;0/3; 0/3;0/3
PWY-7029;terminal olefins biosynthesis II;0;0/1; 0/1;0/0
PWY-7031;protein N-glycosylation (bacterial);0;0/6; 0/6;0/0
PWY-7032;alkane biosynthesis I;33;1/3; 1/3;0/0
PWY-7036;very long chain fatty acid biosynthesis II;0;0/16; 0/16;0/0
PWY-7037;protein O-glycosylation (Neisseria);0;0/6; 0/6;0/0
PWY-7039;phosphatidate metabolism, as a signaling molecule;20;(0+1)/5; 0/5;0/0
PWY-7040;violacein biosynthesis;0;0/6; 0/6;0/0
PWY-7044;5-nitroanthranilate degradation;0;0/5; 0/5;0/0
PWY-7045;mithramycin biosynthesis;6;(0+1)/16; 0/16;0/0
PWY-7046;4-coumarate degradation (anaerobic);0;0/6; 0/6;0/1
PWY-7050;icosapentaenoate biosynthesis IV (bacteria);0;0/1; 0/1;0/0
PWY-7052;cyanophycin metabolism;0;0/5; 0/5;0/2
PWY-7054;N-acetylglutaminylglutamine amide biosynthesis;0;0/2; 0/2;0/0
PWY-7072;hopanoid biosynthesis (bacteria);15;(0+2)/13; 0/13;0/2
PWY-7077;N-acetyl-D-galactosamine degradation;0;0/5; 0/5;0/1
PWY-7081;4-aminophenol degradation;0;0/4; 0/4;0/0
PWY-7085;triethylamine degradation;0;0/6; 0/6;0/0
PWY-7087;2-methylisoborneol biosynthesis;0;0/2; 0/2;0/0
PWY-7090;"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis";20;1/5; 0/5;0/0
PWY-7094;fatty acid salvage;16;1/6; 1/6;0/1
PWY-7096;triclosan resistance;0;0/1; 0/1;0/0
PWY-7097;vanillin and vanillate degradation I;0;0/2; 0/2;0/1
PWY-7098;vanillin and vanillate degradation II;0;0/2; 0/2;0/1
PWY-7100;spinosyn A biosynthesis;11;(0+1)/9; 0/9;0/1
PWY-7102;bisabolene biosynthesis (engineered);16;1/6; 1/6;0/0
PWY-7104;dTDP-L-megosamine biosynthesis;42;3/7; 2/7;0/1
PWY-7106;erythromycin D biosynthesis;0;0/4; 0/4;0/0
PWY-7108;erythromycin A biosynthesis;0;0/4; 0/4;0/0
PWY-7109;megalomicin A biosynthesis;0;0/2; 0/2;0/0
PWY-7111;pyruvate fermentation to isobutanol (engineered);60;3/5; 3/5;0/0
PWY-7126;ethene biosynthesis IV (engineered);33;1/3; 1/3;0/0
PWY-7127;CDP-D-mannitol biosynthesis;0;0/2; 0/2;0/0
PWY-7128;nicotine degradation III (VPP pathway);11;(0+1)/9; 0/9;0/0
PWY-7130;L-glucose degradation;0;0/8; 0/8;0/0
PWY-7131;CMP-legionaminate biosynthesis II;0;0/3; 0/3;0/0
PWY-7136;"&beta; myrcene degradation";0;0/4; 0/4;0/0
PWY-7147;8-amino-7-oxononanoate biosynthesis II;0;0/2; 0/2;0/1
PWY-7153;grixazone biosynthesis;37;(2+1)/8; 2/8;0/2
PWY-7159;3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent);11;1/9; 1/9;0/2
PWY-7165;L-ascorbate biosynthesis VI (engineered pathway);50;(2+1)/6; 1/6;0/0
PWY-7167;choline degradation III;0;0/1; 0/1;0/0
PWY-7174;"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II";20;(0+1)/5; 0/5;0/1
PWY-7175;nostoxanthin biosynthesis;0;0/2; 0/2;0/0
PWY-7176;UTP and CTP de novo biosynthesis;50;2/4; 2/4;0/0
PWY-7177;UTP and CTP dephosphorylation II;0;0/3; 0/3;0/2
PWY-7178;D-xylose degradation to ethylene glycol (engineered);0;0/4; 0/4;0/0
PWY-7179;purine deoxyribonucleosides degradation I;75;3/4; 3/4;0/0
PWY-7180;"2-deoxy-&alpha;-D-ribose 1-phosphate degradation";33;1/3; 1/3;0/0
PWY-7181;pyrimidine deoxyribonucleosides degradation;80;4/5; 4/5;0/0
PWY-7183;pyrimidine nucleobases salvage I;100;1/1; 1/1;0/0
PWY-7184;pyrimidine deoxyribonucleotides de novo biosynthesis I;25;3/12; 3/12;1/1
PWY-7185;UTP and CTP dephosphorylation I;37;(2+1)/8; 2/8;0/0
PWY-7187;pyrimidine deoxyribonucleotides de novo biosynthesis II;10;1/10; 1/10;0/2
PWY-7193;pyrimidine ribonucleosides salvage I;0;0/3; 0/3;0/1
PWY-7195;pyrimidine ribonucleosides salvage III;50;1/2; 1/2;1/1
PWY-7197;pyrimidine deoxyribonucleotide phosphorylation;12;1/8; 1/8;0/0
PWY-7199;pyrimidine deoxyribonucleosides salvage;14;1/7; 1/7;0/0
PWY-7205;CMP phosphorylation;33;1/3; 1/3;0/0
PWY-7206;pyrimidine deoxyribonucleotides dephosphorylation;0;0/6; 0/6;0/0
PWY-7210;pyrimidine deoxyribonucleotides biosynthesis from CTP;20;2/10; 2/10;0/1
PWY-721;3-methylquinoline degradation;0;0/5; 0/5;0/0
PWY-7216;(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered);0;0/6; 0/6;0/0
PWY-7219;adenosine ribonucleotides de novo biosynthesis;100;3/3; 3/3;0/0
PWY-7220;adenosine deoxyribonucleotides de novo biosynthesis II;50;2/4; 2/4;1/2
PWY-7221;guanosine ribonucleotides de novo biosynthesis;75;3/4; 3/4;0/0
PWY-7222;guanosine deoxyribonucleotides de novo biosynthesis II;50;2/4; 2/4;1/2
PWY-7224;purine deoxyribonucleosides salvage;8;(0+1)/12; 0/12;0/0
PWY-7226;guanosine deoxyribonucleotides de novo biosynthesis I;50;1/2; 1/2;0/0
PWY-7227;adenosine deoxyribonucleotides de novo biosynthesis;50;1/2; 1/2;0/0
PWY-722;nicotinate degradation I;0;0/6; 0/6;0/0
PWY-7236;mycocyclosin biosynthesis;0;0/2; 0/2;0/0
PWY-7241;myo-inositol degradation II;0;0/5; 0/5;0/0
PWY-7242;D-fructuronate degradation;33;2/6; 2/6;0/0
PWY-7246;pectin degradation I;0;0/3; 0/3;0/0
PWY-7247;"&beta;-D-glucuronide and D-glucuronate degradation";0;0/2; 0/2;0/0
PWY-7248;pectin degradation II;0;0/4; 0/4;0/0
PWY-7250;[2Fe-2S] iron-sulfur cluster biosynthesis;30;3/10; 2/10;0/0
PWY-7254;TCA cycle VII (acetate-producers);30;3/10; 2/10;0/1
PWY-7255;ergothioneine biosynthesis I (bacteria);20;1/5; 1/5;0/0
PWY-7274;D-cycloserine biosynthesis;16;1/6; 0/6;0/0
PWY-7275;L-homophenylalanine biosynthesis;0;0/5; 0/5;0/0
PWY-7289;L-cysteine biosynthesis V (mycobacteria);0;0/4; 0/4;0/0
PWY-7290;Escherichia coli serotype O86 O-antigen biosynthesis;0;0/6; 0/6;0/0
PWY-7300;ecdysone and 20-hydroxyecdysone biosynthesis;0;0/12; 0/12;0/(1-1) with 1 key reactions of unclear state
PWY-7301;"dTDP-4-O-demethyl-&beta;-L-noviose biosynthesis";40;2/5; 2/5;0/0
PWY-7303;3-dimethylallyl-4-hydroxybenzoate biosynthesis;0;0/4; 0/4;0/0
PWY-7304;3-amino-4,7-dihydroxy-coumarin biosynthesis;0;0/5; 0/5;0/0
PWY-7308;acrylonitrile degradation I;0;0/2; 0/2;0/0
PWY-7309;acrylonitrile degradation II;0;0/1; 0/1;0/0
PWY-7310;D-glucosaminate degradation;25;(0+1)/4; 0/4;0/0
PWY-7312;"dTDP-D-&beta;-fucofuranose biosynthesis";75;3/4; 2/4;0/0
PWY-7315;dTDP-N-acetylthomosamine biosynthesis;50;2/4; 2/4;0/0
PWY-7316;dTDP-N-acetylviosamine biosynthesis;50;2/4; 2/4;0/1
PWY-7318;"dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis";60;3/5; 3/5;0/1
PWY-7321;ecdysteroid metabolism (arthropods);0;0/5; 0/5;0/0
PWY-7330;"UDP-N-acetyl-&beta;-L-fucosamine biosynthesis";0;0/4; 0/4;0/0
PWY-7331;"UDP-N-acetyl-&beta;-L-quinovosamine biosynthesis";0;0/4; 0/4;0/0
PWY-7333;"UDP-N-acetyl-&alpha;-D-fucosamine biosynthesis";0;0/2; 0/2;0/0
PWY-7334;"UDP-N-acetyl-&alpha;-D-quinovosamine biosynthesis";0;0/2; 0/2;0/0
PWY-7335;"UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis";0;0/2; 0/2;0/0
PWY-7336;"UDP-N-acetyl-&alpha;-D-galactosaminuronate biosynthesis";0;0/2; 0/2;0/0
PWY-7343;"UDP-&alpha;-D-glucose biosynthesis I";66;2/3; 2/3;0/0
PWY-7344;"UDP-&alpha;-D-galactose biosynthesis";100;1/1; 1/1;0/0
PWY-7346;"UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)";0;0/1; 0/1;0/0
PWY-7347;sucrose biosynthesis III;33;1/3; 1/3;0/0
PWY-7351;pyruvate fermentation to opines;0;0/5; 0/5;0/0
PWY-7352;daunorubicin biosynthesis;0;0/18; 0/18;0/0
PWY-7354;aclacinomycin biosynthesis;0;0/13; 0/13;0/0
PWY-7355;doxorubicin biosynthesis;0;0/1; 0/1;0/0
PWY-7356;thiamine diphosphate salvage IV (yeast);14;1/7; 0/7;0/1
PWY-7367;phosphatidylcholine resynthesis via glycerophosphocholine;0;0/3; 0/3;0/0
PWY-7369;thiamine triphosphate metabolism;0;0/2; 0/2;0/0
PWY-7371;1,4-dihydroxy-6-naphthoate biosynthesis II;20;1/5; 0/5;0/1
PWY-7372;demethylmenaquinol-6 biosynthesis II;0;0/1; 0/1;0/0
PWY-7374;1,4-dihydroxy-6-naphthoate biosynthesis I;16;1/6; 0/6;0/1
PWY-7376;cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation);0;0/13; 0/13;0/1
PWY-7377;cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion);0;0/15; 0/15;0/0
PWY-7378;aminopropanol phosphate biosynthesis II;0;0/3; 0/3;0/0
PWY-7380;biotin biosynthesis from 8-amino-7-oxononanoate II;0;0/4; 0/4;0/1
PWY-7385;1,3-propanediol biosynthesis (engineered);60;(5+1)/10; 5/10;0/0
PWY-7387;hypotaurine degradation;0;0/2; 0/2;0/0
PWY-7391;isoprene biosynthesis II (engineered);11;(0+1)/9; 0/9;0/2
PWY-7394;urate conversion to allantoin II;0;0/3; 0/3;0/1
PWY-7395;D-galactosamine and N-acetyl-D-galactosamine degradation;0;0/4; 0/4;0/0
PWY-7396;butanol and isobutanol biosynthesis (engineered);33;(1+2)/9; 0/9;0/0
PWY-7398;coumarins biosynthesis (engineered);0;0/13; 0/13;0/0
PWY-7399;methylphosphonate degradation II;0;0/5; 0/5;0/0
PWY-7400;L-arginine biosynthesis IV (archaebacteria);55;(3+2)/9; 3/9;0/(2-2) with 2 key reactions of unclear state
PWY-7403;tetramethylpyrazine degradation;0;0/5; 0/5;0/0
PWY-7405;aurachin RE biosynthesis;20;(0+1)/5; 0/5;0/0
PWY-7407;aurachin A, B, C and D biosynthesis;0;0/9; 0/9;0/0
PWY-7412;mycinamicin biosynthesis;0;0/9; 0/9;0/0
PWY-7413;"dTDP-6-deoxy-&alpha;-D-allose biosynthesis";50;2/4; 2/4;0/1
PWY-7414;"dTDP-&alpha;-D-mycaminose biosynthesis";60;3/5; 3/5;0/0
PWY-7415;tylosin biosynthesis;0;0/9; 0/9;0/0
PWY-7419;FR-900098 and FR-33289 antibiotics biosynthesis;0;0/10; 0/10;0/0
PWY-741;p-cymene degradation to p-cumate;0;0/3; 0/3;0/1
PWY-7420;monoacylglycerol metabolism (yeast);0;0/4; 0/4;0/0
PWY-7421;narbomycin, pikromycin and novapikromycin biosynthesis;0;0/6; 0/6;0/0
PWY-7422;methymycin, neomethymycin and novamethymycin biosynthesis;0;0/6; 0/6;0/0
PWY-7425;2-chloroacrylate degradation I;0;0/3; 0/3;0/1
PWY-7428;2-chloroacrylate degradation II;0;0/1; 0/1;0/1
PWY-7429;arsenite oxidation II (respiratory);0;0/1; 0/1;0/0
PWY-7431;aromatic biogenic amine degradation (bacteria);25;2/8; 2/8;0/0
PWY-7433;mucin core 1 and core 2 O-glycosylation;20;1/5; 1/5;0/0
PWY-7439;"dTDP-&beta;-L-evernitrose biosynthesis";0;0/3; 0/3;0/0
PWY-743;thiocyanate degradation II;0;0/2; 0/2;0/0
PWY-7440;"dTDP-&beta;-L-4-epi-vancosamine biosynthesis";42;3/7; 2/7;0/1
PWY-7441;polymyxin A biosynthesis;0;0/1; 0/1;0/0
PWY-7446;sulfoquinovose degradation I;0;0/5; 0/5;0/0
PWY-7447;2-aminoethylphosphonate degradation III;0;0/2; 0/2;0/0
PWY-7455;allopregnanolone biosynthesis;0;0/2; 0/2;0/0
PWY-7456;"&beta;-(1,4)-mannan degradation";14;1/7; 1/7;0/4
PWY-7457;sulfite oxidation V (SoeABC);0;0/1; 0/1;0/0
PWY-7459;kojibiose degradation;0;0/2; 0/2;0/0
PWY-7462;3,3'-disulfanediyldipropannoate degradation;25;1/4; 0/4;0/0
PWY-7465;3,3'-thiodipropanoate degradation;25;(0+1)/4; 0/4;0/0
PWY-7467;"2-acetamido-4-amino-2,4,6-trideoxy-&alpha;-D-galactosyl-diphospho-ditrans,octacis-undecaprenol biosynthesis";0;0/3; 0/3;0/0
PWY-7469;gentisate degradation II;0;0/2; 0/2;0/1
PWY-7470;phosphatidylcholine biosynthesis VII;0;0/2; 0/2;0/0
PWY-7471;D-carnitine degradation I;0;0/3; 0/3;0/(1-1) with 1 key reactions of unclear state
PWY-7472;D-carnitine degradation II;0;0/4; 0/4;0/1
PWY-7480;2,3-dihydroxybenzoate degradation;0;0/5; 0/5;0/2
PWY-7482;cyclooctatin biosynthesis;0;0/3; 0/3;0/0
PWY-7483;elloramycin biosynthesis;0;0/13; 0/13;0/0
PWY-7484;phytocassanes biosynthesis, shared reactions;0;0/11; 0/11;0/0
PWY-7485;tetracenomycin C biosynthesis;10;1/10; 1/10;0/0
PWY-7492;paspaline biosynthesis;0;0/6; 0/6;0/(2-2) with 2 key reactions of unclear state
PWY-7496;linuron degradation;0;0/4; 0/4;0/1
PWY-7501;phosphatidylserine biosynthesis I;0;0/1; 0/1;0/0
PWY-7506;phosphatidylserine biosynthesis II;0;0/1; 0/1;0/0
PWY-7510;rhizocticin A and B biosynthesis;25;(0+3)/12; 0/12;0/0
PWY-7512;3,5,6-trichloro-2-pyridinol degradation;0;0/4; 0/4;0/1
PWY-7513;flaviolin dimer and mompain biosynthesis;0;0/5; 0/5;0/0
PWY-7514;L-tyrosine degradation IV (to 4-methylphenol);33;(1+1)/6; 1/6;0/0
PWY-7515;trans-3-hydroxy-L-proline degradation;0;0/3; 0/3;0/2
PWY-7516;L-lyxonate degradation;0;0/3; 0/3;0/0
PWY-7517;brassicicene C biosynthesis;0;0/7; 0/7;0/0
PWY-7521;3-(4-sulfophenyl)butanoate degradation;0;0/3; 0/3;0/2
PWY-7529;CMP-N-acetyl-7-O-acetylneuraminate biosynthesis;0;0/4; 0/4;0/1
PWY-7530;"&beta;-D-galactosaminyl-(1&rarr;3)-N-acetyl-&alpha;-D-galactosamine biosynthesis";0;0/3; 0/3;0/0
PWY-7531;mannojirimycin biosynthesis;0;0/3; 0/3;0/2
PWY-7536;2-amino-3-hydroxycyclopent-2-enone biosynthesis;33;1/3; 0/3;1/2
PWY-7539;6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia);20;(0+1)/5; 0/5;0/0
PWY-7541;1,2-propanediol biosynthesis from lactate (engineered);0;0/6; 0/6;0/0
PWY-7544;pyruvate to cytochrome bo oxidase electron transfer;50;1/2; 1/2;0/0
PWY-7545;pyruvate to cytochrome bd oxidase electron transfer;50;1/2; 1/2;0/0
PWY-7547;prodigiosin biosynthesis;0;0/12; 0/12;0/0
PWY-7552;heme b biosynthesis III (from siroheme);0;0/3; 0/3;0/0
PWY-7554;heme d1 biosynthesis;0;0/3; 0/3;0/0
PWY-7557;(-)-dehydrodiconiferyl alcohol degradation;16;(0+1)/6; 0/6;0/0
PWY-7560;methylerythritol phosphate pathway II;55;5/9; 3/9;1/1
PWY-7562;"3,6-anhydro-&alpha;-L-galactopyranose degradation";0;0/8; 0/8;0/0
PWY-7564;bacimethrin and bacimethrin pyrophosphate biosynthesis;0;0/4; 0/4;0/1
PWY-7566;L-gulonate degradation;0;0/1; 0/1;0/0
PWY-7568;L-galactose degradation;0;0/1; 0/1;0/1
PWY-7569;arginomycin biosynthesis;11;(0+1)/9; 0/9;0/0
PWY-7570;blasticidin S biosynthesis;10;(0+1)/10; 0/10;0/0
PWY-7573;GDP-mycosamine biosynthesis;0;0/3; 0/3;0/0
PWY-7574;propanoyl-CoA degradation II;0;0/5; 0/5;0/1
PWY-7576;nitrogen fixation II (flavodoxin);0;0/1; 0/1;0/0
PWY-7578;phycoviolobilin biosynthesis;0;0/3; 0/3;0/1
PWY-7579;phycourobilin biosynthesis;0;0/4; 0/4;0/1
PWY-7580;phycoerythrobilin biosynthesis II;0;0/2; 0/2;0/(1-1) with 1 key reactions of unclear state
PWY-7581;N-acetylneuraminate and N-acetylmannosamine degradation II;50;1/2; 1/2;1/1
PWY-7582;mercaptosuccinate degradation;0;0/1; 0/1;0/1
PWY-7583;arachidonate biosynthesis II (bacteria);0;0/1; 0/1;0/0
PWY-7585;docosahexaenoate biosynthesis II (bacteria);0;0/1; 0/1;0/0
PWY-7586;"&beta;-1,4-D-mannosyl-N-acetyl-D-glucosamine degradation";33;1/3; 1/3;0/0
PWY-7587;oleate biosynthesis III (cyanobacteria);0;0/3; 0/3;0/0
PWY-7588;ursodeoxycholate biosynthesis (bacteria);0;0/2; 0/2;0/1
PWY-7589;palmitoleate biosynthesis III (cyanobacteria);0;0/2; 0/2;0/1
PWY-7591;okenone biosynthesis;0;0/6; 0/6;0/2
PWY-7593;linoleate biosynthesis III (cyanobacteria);0;0/1; 0/1;0/0
PWY-7594;"&gamma;-linolenate biosynthesis III (cyanobacteria)";0;0/1; 0/1;0/0
PWY-7595;stearidonate biosynthesis (cyanobacteria);0;0/1; 0/1;0/0
PWY-7598;"&alpha;-linolenate biosynthesis II (cyanobacteria)";0;0/1; 0/1;0/0
PWY-7610;GDP-6-deoxy-D-altro-heptose biosynthesis;0;0/4; 0/4;0/2
PWY-7613;GDP-6-deoxy-D-manno-heptose biosynthesis;0;0/2; 0/2;0/0
PWY-761;rhizobactin 1021 biosynthesis;14;(0+1)/7; 0/7;0/0
PWY-7620;naphthalene degradation (anaerobic);0;0/4; 0/4;0/0
PWY-7621;autoinducer CAI-1 biosynthesis;0;0/2; 0/2;0/0
PWY-7623;astaxanthin dirhamnoside biosynthesis;0;0/1; 0/1;0/0
PWY-7624;nystatin biosynthesis;0;0/4; 0/4;0/0
PWY-7626;bacilysin biosynthesis;10;(0+1)/10; 0/10;0/0
PWY-7627;2,4,6-trinitrophenol and 2,4-dinitrophenol degradation;28;(0+2)/7; 0/7;0/0
PWY-7628;2,4-dinitroanisole degradation;0;0/1; 0/1;0/0
PWY-762;phospholipid desaturation;0;0/21; 0/21;0/0
PWY-7637;2,2'-dihydroxyketocarotenoids biosynthesis;0;0/6; 0/6;0/0
PWY-7638;echinenone and zeaxanthin biosynthesis (Synechocystis);0;0/4; 0/4;0/0
PWY-7639;bis(guanylyl molybdenum cofactor) biosynthesis;0;0/2; 0/2;0/0
PWY-7641;5-hexynoate biosynthesis;0;0/3; 0/3;0/0
PWY-7644;heparin degradation;20;(0+1)/5; 0/5;0/0
PWY-7645;hyaluronan degradation;0;0/3; 0/3;0/0
PWY-7646;dermatan sulfate degradation I (bacterial);20;(0+1)/5; 0/5;0/0
PWY-7647;ulvan degradation;0;0/2; 0/2;0/0
PWY-7651;heparan sulfate degradation;0;0/3; 0/3;0/0
PWY-7652;echinocandin B degradation;0;0/3; 0/3;0/0
PWY-7656;Spodoptera littoralis pheromone biosynthesis;0;0/22; 0/22;0/0
PWY-7657;"dTDP-&beta;-L-digitoxose biosynthesis";33;2/6; 2/6;0/0
PWY-7661;protein N-glycosylation (Haloferax volcanii);0;0/11; 0/11;0/0
PWY-7663;gondoate biosynthesis (anaerobic);0;0/5; 0/5;0/1
PWY-7664;oleate biosynthesis IV (anaerobic);0;0/17; 0/17;0/1
PWY-7666;galactolipid biosynthesis II;0;0/3; 0/3;0/0
PWY-7671;saframycin A biosynthesis;10;(0+1)/10; 0/10;0/0
PWY-7674;CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis;0;0/6; 0/6;0/2
PWY-7675;Kdo transfer to lipid IVA II (Haemophilus);0;0/2; 0/2;0/1
PWY-7676;Kdo8N transfer to lipid IVA;0;0/2; 0/2;0/0
PWY-7677;rosamicin biosynthesis;20;(0+1)/5; 0/5;0/0
PWY-7681;1-chloro-2-nitrobenzene degradation;0;0/1; 0/1;0/0
PWY-7683;nitrite reduction (hemoglobin);0;0/3; 0/3;0/0
PWY-7684;"&alpha;-diglucosyldiacylglycerol biosynthesis";0;0/2; 0/2;0/0
PWY-7685;L-malate degradation I;0;0/1; 0/1;0/0
PWY-7686;L-malate degradation II;100;1/1; 1/1;0/0
PWY-7688;dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis;50;3/6; 3/6;0/0
PWY-7690;holomycin biosynthesis;0;0/11; 0/11;0/0
PWY-7691;10,13-epoxy-11-methyl-octadecadienoate biosynthesis;0;0/2; 0/2;0/0
PWY-7693;guadinomine B biosynthesis;7;(0+1)/13; 0/13;0/0
PWY-7694;zwittermicin A biosynthesis;0;0/13; 0/13;0/0
PWY-7698;2,5-xylenol and 3,5-xylenol degradation;15;(0+2)/13; 0/13;0/(2-2) with 2 key reactions of unclear state
